,log_revenue
991,19.623686287632513
2600,17.118952542713956
882,16.36712634015779
1944,17.056653617545955
2665,17.928693737222304
1242,17.456304881813956
1246,17.156889319986288
347,19.18860696644833
2386,17.70055094473853
3653,14.86292217953374
3144,16.151286490137696
2730,17.49025749179969
2037,18.414899283471048
3603,14.37218430806172
3330,16.39544295316958
3202,17.761970013037892
1387,18.59882693770404
676,17.791490321588743
1884,16.046020534230088
3294,15.943117306663735
1322,18.904605541267387
1045,18.877394224105753
2398,17.754698473432903
1372,16.728398686815083
1342,19.13653816862999
650,19.01400759475496
1405,18.44288021221522
1947,17.59934174128316
146,19.844850379875297
848,17.233998492736045
2144,16.710879918127944
2943,17.11161198156275
1186,17.451265199379225
458,19.40661629634851
921,18.879135370712635
1643,17.335621062419666
1468,17.57671069691365
3633,15.409259438654589
2954,15.42527961556376
2934,18.08695746947013
578,18.567139637692993
2733,17.761970013037892
590,19.18576901639005
1969,15.737339643109484
876,15.22776209762753
2055,16.784936843136823
3155,16.422339000259946
2099,18.02188333226833
948,18.355608757881008
3116,16.38104066983224
2582,17.761970013037892
481,16.50159302561862
2891,17.761970013037892
3115,17.761970013037892
2538,18.05662852615115
3453,11.5858041103828
3043,17.148017272471147
3138,17.6441519761925
2304,17.51094401261859
1189,18.253516110451628
603,19.13008327254813
333,20.255080834595837
922,18.837209589249397
2983,17.761970013037892
3400,17.761970013037892
1051,16.1512777839144
1191,17.54833672756902
967,18.911734995933717
1538,18.676731512488896
1618,19.09011294925379
3465,17.761970013037892
3618,17.761970013037892
2803,15.741378773949208
2272,16.598938943206903
1107,18.733348195890205
795,19.115206978180534
9,19.752672922728568
1055,18.15192153937288
1890,18.82885196722581
2250,18.43650608014503
821,19.25987098624791
709,18.464491072152494
1476,18.46895426039663
2988,17.761970013037892
772,18.665434988985872
524,19.69277172292949
2844,15.770079822717811
3743,17.761970013037892
867,12.726273187106244
3561,14.947735234281955
2417,17.220126024645715
794,19.679692817483183
3347,15.684569899807476
887,15.740432268355502
643,19.09760297907329
706,18.23774656354288
